x1,x2,label
-2.627,-1.717,0
1.530,1.499,1
-2.250,1.336,0
1.181,-0.099,1
-1.232,0.422,0
2.506,1.836,1
-0.574,-1.094,0
0.577,0.468,1
-1.047,-2.444,0
2.034,1.253,1
-2.316,-0.276,0
2.581,3.321,1
-1.380,-1.609,0
1.438,0.168,1
-1.048,-1.567,0
1.930,1.749,1
-2.723,-1.294,0
0.159,-0.082,1
-2.568,-0.584,0
3.193,0.982,1
-1.739,-0.832,0
3.085,1.893,1
-1.726,-2.011,0
2.903,1.381,1
-0.773,-1.030,0
3.953,0.641,1
-0.407,-0.885,0
1.484,-0.128,1
-2.151,0.423,0
2.816,1.689,1
-4.376,-0.289,0
2.556,0.450,1
-2.627,-1.002,0
3.725,-0.055,1
-2.428,0.362,0
1.554,0.636,1
-1.902,-2.241,0
2.220,-0.210,1
-1.115,-0.997,0
4.283,1.281,1
-0.634,-2.303,0
1.878,1.323,1
-0.254,-2.681,0
2.991,1.591,1
-0.466,-0.288,0
2.052,0.478,1
-3.248,-0.805,0
1.808,3.020,1
-2.611,-0.680,0
0.431,0.605,1
-1.739,-0.176,0
3.448,0.956,1
-3.117,-0.542,0
2.517,1.492,1
-2.700,0.133,0
2.088,1.700,1
-0.726,-0.391,0
2.287,3.153,1
-1.756,-1.296,0
2.112,2.483,1
-1.881,-0.481,0
3.196,0.487,1
-3.727,-0.701,0
2.230,0.392,1
-1.129,-0.392,0
1.005,1.518,1
-2.196,-2.483,0
2.453,0.955,1
-2.745,-0.477,0
2.488,0.422,1
-1.600,0.015,0
1.287,1.381,1
-1.997,1.266,0
0.138,1.695,1
-2.306,-1.100,0
3.902,0.991,1
0.241,-1.442,0
2.351,0.509,1
-2.691,-0.938,0
1.717,1.202,1
-4.105,1.002,0
1.833,2.743,1
-3.007,-0.707,0
5.165,0.130,1
-3.495,-1.547,0
2.472,1.693,1
-0.710,-1.257,0
0.398,0.565,1
-0.760,-0.534,0
0.043,0.965,1
-0.602,1.127,0
2.562,1.309,1
-3.240,-1.843,0
2.047,1.503,1
-1.420,-1.478,0
0.848,0.222,1
-3.157,-0.357,0
-0.312,0.667,1
-1.550,0.522,0
2.071,2.001,1
-2.399,-1.744,0
1.326,2.527,1
-1.006,-0.513,0
5.330,0.968,1
-1.380,-0.692,0
1.778,3.316,1
-0.493,-2.399,0
1.600,1.428,1
-1.217,-2.348,0
-0.256,-0.906,1
-2.071,-1.103,0
2.345,0.230,1
-3.224,-3.023,0
2.329,1.370,1
-1.007,-0.209,0
1.809,2.349,1
-2.136,-1.661,0
1.479,0.415,1
-4.166,-0.844,0
2.250,0.638,1
