feature,strength,noise,target
4.236,6.326,0.083,6.409
7.711,10.552,-0.591,9.960
7.412,9.116,-0.337,8.779
0.097,3.834,0.943,4.778
9.039,9.919,-0.536,9.383
5.825,9.362,0.419,9.780
3.083,7.496,-1.057,6.439
8.607,14.016,-0.407,13.609
2.495,6.523,1.048,7.570
8.841,10.945,0.773,11.718
1.546,5.936,-0.853,5.083
9.762,16.182,-1.916,14.266
0.248,0.220,-0.895,-0.675
9.308,15.250,-1.891,13.359
8.107,11.790,1.750,13.540
1.081,4.368,-1.423,2.945
2.224,4.239,-1.015,3.224
3.052,4.982,-0.690,4.292
0.237,0.979,0.836,1.815
8.644,14.549,-0.167,14.381
6.415,5.069,1.661,6.730
5.362,8.962,-0.184,8.778
9.704,16.780,2.309,19.089
2.655,5.641,0.672,6.314
7.285,9.865,1.257,11.122
5.114,5.702,0.866,6.568
2.547,3.791,-0.056,3.735
9.256,10.788,-0.381,10.406
7.420,10.219,-0.836,9.383
0.700,0.131,-0.768,-0.638
3.139,6.551,-1.302,5.249
3.003,3.759,0.954,4.713
4.024,5.741,0.500,6.241
4.204,9.106,-0.550,8.556
9.028,12.276,-0.562,11.715
5.479,9.864,0.002,9.866
4.299,3.892,-0.702,3.190
4.650,5.679,0.246,5.925
4.732,9.998,-1.037,8.961
1.697,4.619,0.611,5.231
6.329,7.610,1.589,9.199
7.511,10.602,-0.631,9.971
1.991,4.468,0.115,4.583
4.751,7.583,-0.315,7.268
4.144,5.315,-0.479,4.836
6.964,8.950,0.026,8.977
6.561,13.174,0.058,13.232
7.700,13.201,0.653,13.854
1.759,4.971,-0.315,4.655
0.502,0.773,1.942,2.715
4.565,7.789,-1.407,6.382
9.879,10.777,-1.382,9.395
8.914,10.949,-1.036,9.913
5.048,8.794,-1.102,7.692
8.972,13.368,-1.134,12.234
2.592,3.937,1.425,5.362
7.658,8.704,-0.187,8.517
2.746,5.569,0.384,5.953
2.717,3.018,1.129,4.147
1.384,2.437,1.528,3.965
7.064,12.478,0.402,12.880
5.426,6.964,0.344,7.308
4.201,8.492,-0.746,7.746
6.955,12.550,-1.334,11.216
3.804,7.567,0.034,7.601
7.535,14.300,-1.972,12.328
4.190,6.246,-1.257,4.989
6.033,9.308,0.692,10.000
4.358,8.318,0.164,8.482
6.791,9.197,0.340,9.536
4.674,8.951,1.003,9.954
0.270,-1.623,0.796,-0.827
0.271,-0.267,-0.422,-0.690
4.617,8.781,0.303,9.085
2.117,1.603,1.499,3.102
3.791,5.735,-1.888,3.846
2.523,4.129,0.097,4.226
5.394,9.948,-0.001,9.947
6.501,10.319,-1.425,8.894
7.542,12.581,-0.208,12.373
