date,value,trend
2024-W01,100.77,0.80
2024-W02,101.88,1.60
2024-W03,103.27,2.40
2024-W04,106.91,3.20
2024-W05,105.62,4.00
2024-W06,102.71,4.80
2024-W07,109.40,5.60
2024-W08,108.80,6.40
2024-W09,110.15,7.20
2024-W10,112.35,8.00
2024-W11,113.90,8.80
2024-W12,117.89,9.60
2024-W13,117.57,10.40
2024-W14,117.13,11.20
2024-W15,115.79,12.00
2024-W16,116.16,12.80
2024-W17,121.14,13.60
2024-W18,125.53,14.40
2024-W19,122.92,15.20
2024-W20,123.68,16.00
2024-W21,126.80,16.80
2024-W22,122.04,17.60
2024-W23,126.66,18.40
2024-W24,130.27,19.20
2024-W25,132.62,20.00
2024-W26,130.48,20.80
2024-W27,133.53,21.60
2024-W28,134.34,22.40
2024-W29,137.15,23.20
2024-W30,132.66,24.00
2024-W31,138.90,24.80
2024-W32,133.86,25.60
2024-W33,131.74,26.40
2024-W34,138.98,27.20
2024-W35,139.25,28.00
2024-W36,145.83,28.80
2024-W37,146.39,29.60
2024-W38,141.94,30.40
2024-W39,149.34,31.20
2024-W40,144.99,32.00
2024-W41,148.94,32.80
2024-W42,149.52,33.60
2024-W43,151.94,34.40
2024-W44,155.26,35.20
2024-W45,155.92,36.00
2024-W46,156.25,36.80
2024-W47,158.35,37.60
2024-W48,159.04,38.40
